,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,TORONTO_ACTION,LA CLIPPERS_SCORE,TORONTO_SCORE
0,1,11:39.0,C. Paul misses 2-pt jump shot from 20 ft,,0,0
1,1,11:38.0,Offensive rebound by D. Jordan,,0,0
2,1,11:34.0,D. Jordan makes 2-pt jump shot from 1 ft,,2,0
3,1,11:15.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,2,0
4,1,11:14.0,Defensive rebound by D. Jordan,,2,0
5,1,10:56.0,M. Barnes makes 2-pt jump shot from 21 ft (assist by C. Paul),,4,0
6,1,10:29.0,,G. Vásquez misses 3-pt jump shot from 26 ft,4,0
7,1,10:28.0,Defensive rebound by M. Barnes,,4,0
8,1,10:18.0,M. Barnes makes 3-pt jump shot from 25 ft (assist by B. Griffin),,7,0
9,1,9:58.0,,D. DeRozan misses 2-pt jump shot from 15 ft,7,0
10,1,9:57.0,,Offensive rebound by A. Johnson,7,0
11,1,9:55.0,,A. Johnson makes 2-pt layup at rim,7,2
12,1,9:50.0,Shooting block foul by J. Valančiūnas (drawn by M. Barnes),,7,2
13,1,9:50.0,M. Barnes makes free throw 1 of 2,,8,2
14,1,9:50.0,M. Barnes makes free throw 2 of 2,,9,2
15,1,9:32.0,,Turnover by K. Lowry (lost ball; steal by C. Paul),9,2
16,1,9:28.0,C. Paul makes 2-pt jump shot from 1 ft,,11,2
17,1,9:20.0,,Toronto full timeout,11,2
18,1,9:05.0,B. Griffin makes 2-pt layup from 2 ft (assist by C. Paul),,13,2
19,1,8:49.0,,Turnover by G. Vásquez (bad pass; steal by A. Rivers),13,2
20,1,8:46.0,Shooting foul by G. Vásquez (drawn by B. Griffin),,13,2
21,1,8:46.0,B. Griffin makes free throw 1 of 2,,14,2
22,1,8:46.0,,L. Williams enters the game for G. Vásquez,14,2
23,1,8:46.0,,P. Patterson enters the game for A. Johnson,14,2
24,1,8:46.0,B. Griffin makes free throw 2 of 2,,15,2
25,1,8:32.0,,D. DeRozan misses 2-pt jump shot from 20 ft,15,2
26,1,8:31.0,Defensive rebound by B. Griffin,,15,2
27,1,8:24.0,C. Paul misses 3-pt jump shot from 26 ft,,15,2
28,1,8:23.0,,Defensive rebound by D. DeRozan,15,2
29,1,8:12.0,,D. DeRozan makes 2-pt layup at rim,15,4
30,1,8:05.0,M. Barnes misses 3-pt jump shot from 24 ft,,15,4
31,1,8:04.0,,Defensive rebound by J. Valančiūnas,15,4
32,1,7:52.0,,P. Patterson misses 3-pt jump shot from 25 ft,15,4
33,1,7:52.0,Defensive rebound by D. Jordan,,15,4
34,1,7:39.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,17,4
35,1,7:18.0,,Turnover by J. Valančiūnas (lost ball; steal by A. Rivers),17,4
36,1,7:13.0,B. Griffin makes 2-pt layup from 1 ft (assist by C. Paul),,19,4
37,1,7:06.0,,Toronto full timeout,19,4
38,1,6:47.0,,D. DeRozan misses 2-pt jump shot from 20 ft,19,4
39,1,6:47.0,,Offensive rebound by Team,19,4
40,1,6:47.0,Loose ball foul by A. Rivers (drawn by J. Valančiūnas),,19,4
41,1,6:40.0,,P. Patterson misses 2-pt jump shot from 16 ft,19,4
42,1,6:39.0,Defensive rebound by M. Barnes,,19,4
43,1,6:28.0,A. Rivers misses 3-pt jump shot from 23 ft,,19,4
44,1,6:27.0,,Defensive rebound by L. Williams,19,4
45,1,6:21.0,,K. Lowry misses 3-pt jump shot from 28 ft,19,4
46,1,6:20.0,Defensive rebound by C. Paul,,19,4
47,1,5:58.0,C. Paul misses 3-pt jump shot from 26 ft,,19,4
48,1,5:57.0,,Defensive rebound by P. Patterson,19,4
49,1,5:39.0,,L. Williams makes 2-pt layup from 4 ft,19,6
50,1,5:34.0,LA Clippers full timeout,,19,6
51,1,5:34.0,J. Crawford enters the game for A. Rivers,,19,6
52,1,5:34.0,,A. Johnson enters the game for J. Valančiūnas,19,6
53,1,5:22.0,B. Griffin misses 2-pt hook shot from 4 ft,,19,6
54,1,5:21.0,Offensive rebound by D. Jordan,,19,6
55,1,5:18.0,D. Jordan misses 2-pt jump shot from 2 ft,,19,6
56,1,5:17.0,,Defensive rebound by P. Patterson,19,6
57,1,5:05.0,,L. Williams misses 2-pt jump shot from 13 ft,19,6
58,1,5:04.0,Defensive rebound by M. Barnes,,19,6
59,1,4:53.0,M. Barnes makes 2-pt layup from 3 ft (assist by B. Griffin),,21,6
60,1,4:33.0,,K. Lowry makes 2-pt jump shot from 14 ft,21,8
61,1,4:08.0,B. Griffin makes 2-pt jump shot from 16 ft,,23,8
62,1,3:53.0,,Shooting foul by M. Barnes (drawn by D. DeRozan),23,8
63,1,3:53.0,,D. DeRozan makes free throw 1 of 2,23,9
64,1,3:53.0,S. Hawes enters the game for B. Griffin,,23,9
65,1,3:53.0,,D. DeRozan makes free throw 2 of 2,23,10
66,1,3:41.0,D. Jordan makes 2-pt layup from 2 ft (assist by C. Paul),,25,10
67,1,3:20.0,,D. DeRozan misses 2-pt jump shot from 18 ft,25,10
68,1,3:19.0,Defensive rebound by D. Jordan,,25,10
69,1,3:12.0,J. Crawford misses 2-pt layup from 4 ft,,25,10
70,1,3:11.0,Offensive rebound by D. Jordan,,25,10
71,1,3:09.0,D. Jordan makes 2-pt dunk at rim,,27,10
72,1,2:59.0,,P. Patterson misses 3-pt jump shot from 23 ft,27,10
73,1,2:58.0,Defensive rebound by C. Paul,,27,10
74,1,2:34.0,S. Hawes makes 3-pt jump shot from 25 ft (assist by C. Paul),,30,10
75,1,2:10.0,,L. Williams makes 3-pt jump shot from 22 ft (assist by P. Patterson),30,13
76,1,1:50.0,Shooting foul by L. Williams (drawn by D. Jordan),,30,13
77,1,1:50.0,D. Jordan makes free throw 1 of 2,,31,13
78,1,1:50.0,,T. Ross enters the game for K. Lowry,31,13
79,1,1:50.0,,G. Vásquez enters the game for D. DeRozan,31,13
80,1,1:50.0,D. Jordan misses free throw 2 of 2,,31,13
81,1,1:49.0,,Defensive rebound by T. Ross,31,13
82,1,1:31.0,,T. Ross misses 3-pt jump shot from 23 ft,31,13
83,1,1:30.0,,Offensive rebound by P. Patterson,31,13
84,1,1:19.0,,Shooting foul by D. Jordan (drawn by T. Ross),31,13
85,1,1:19.0,,T. Ross misses free throw 1 of 2,31,13
86,1,1:19.0,,Offensive rebound by Team,31,13
87,1,1:19.0,,T. Ross misses free throw 2 of 2,31,13
88,1,1:18.0,Defensive rebound by M. Barnes,,31,13
89,1,1:08.0,Turnover by C. Paul (bad pass; steal by A. Johnson),,31,13
90,1,1:01.0,,G. Vásquez makes 3-pt jump shot from 25 ft (assist by T. Ross),31,16
91,1,0:45.0,J. Crawford misses 3-pt jump shot from 23 ft,,31,16
92,1,0:44.0,,Defensive rebound by Team,31,16
93,1,0:44.0,A. Rivers enters the game for C. Paul,,31,16
94,1,0:37.0,,L. Williams makes 3-pt jump shot from 24 ft,31,19
95,1,0:14.0,J. Crawford makes 3-pt jump shot from 27 ft,,34,19
96,1,0:00.0,,L. Williams misses 3-pt jump shot from 25 ft,34,19
97,1,0:00.0,,Offensive rebound by Team,34,19
98,2,11:43.0,,Turnover by T. Ross (lost ball; steal by A. Rivers),34,19
99,2,11:39.0,B. Griffin makes 2-pt layup from 2 ft (assist by A. Rivers),,36,19
100,2,11:31.0,,Personal foul by M. Barnes (drawn by L. Williams),36,19
101,2,11:20.0,,G. Vásquez makes 2-pt jump shot from 10 ft (assist by T. Ross),36,21
102,2,11:17.0,Shooting foul by T. Ross (drawn by B. Griffin),,36,21
103,2,11:17.0,B. Griffin makes free throw 1 of 2,,37,21
104,2,11:17.0,D. Jones enters the game for M. Barnes,,37,21
105,2,11:17.0,B. Griffin makes free throw 2 of 2,,38,21
106,2,10:55.0,,Shooting foul by D. Jones (drawn by L. Williams),38,21
107,2,10:55.0,,L. Williams makes free throw 1 of 3,38,22
108,2,10:55.0,,L. Williams makes free throw 2 of 3,38,23
109,2,10:55.0,,L. Williams makes free throw 3 of 3,38,24
110,2,10:45.0,Shooting foul by T. Ross (drawn by J. Crawford),,38,24
111,2,10:45.0,J. Crawford makes free throw 1 of 2,,39,24
112,2,10:45.0,J. Crawford makes free throw 2 of 2,,40,24
113,2,10:25.0,,P. Patterson makes 3-pt jump shot from 26 ft (assist by L. Williams),40,27
114,2,10:11.0,A. Rivers makes 2-pt jump shot from 16 ft (assist by B. Griffin),,42,27
115,2,10:04.0,,Shooting foul by S. Hawes (drawn by L. Williams),42,27
116,2,10:04.0,,L. Williams misses free throw 1 of 2,42,27
117,2,10:04.0,,Offensive rebound by Team,42,27
118,2,10:04.0,,L. Williams makes free throw 2 of 2,42,28
119,2,9:44.0,J. Crawford misses 3-pt jump shot from 27 ft,,42,28
120,2,9:43.0,,Defensive rebound by A. Johnson,42,28
121,2,9:35.0,,T. Ross misses 3-pt jump shot from 24 ft,42,28
122,2,9:34.0,,Offensive rebound by A. Johnson,42,28
123,2,9:31.0,,A. Johnson misses 2-pt layup from 1 ft (block by B. Griffin),42,28
124,2,9:30.0,,Offensive rebound by G. Vásquez,42,28
125,2,9:30.0,,Turnover by G. Vásquez (traveling),42,28
126,2,9:20.0,A. Rivers misses 2-pt jump shot from 9 ft,,42,28
127,2,9:19.0,,Defensive rebound by T. Ross,42,28
128,2,9:14.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by T. Ross),42,31
129,2,9:01.0,Shooting foul by P. Patterson (drawn by B. Griffin),,42,31
130,2,9:01.0,B. Griffin misses free throw 1 of 2,,42,31
131,2,9:01.0,Offensive rebound by Team,,42,31
132,2,9:01.0,C. Paul enters the game for D. Jones,,42,31
133,2,9:01.0,B. Griffin makes free throw 2 of 2,,43,31
134,2,8:45.0,,A. Johnson makes 2-pt dunk at rim (assist by L. Williams),43,33
135,2,8:28.0,Offensive foul by S. Hawes (drawn by P. Patterson),,43,33
136,2,8:28.0,Turnover by S. Hawes (offensive foul),,43,33
137,2,8:28.0,Official timeout,,43,33
138,2,8:14.0,,A. Johnson makes 2-pt layup from 2 ft (assist by L. Williams),43,35
139,2,7:46.0,B. Griffin misses 2-pt layup from 3 ft,,43,35
140,2,7:44.0,Offensive rebound by S. Hawes,,43,35
141,2,7:40.0,S. Hawes makes 2-pt layup at rim,,45,35
142,2,7:30.0,,Shooting foul by S. Hawes (drawn by A. Johnson),45,35
143,2,7:30.0,,A. Johnson makes free throw 1 of 2,45,36
144,2,7:30.0,,J. Johnson enters the game for P. Patterson,45,36
145,2,7:30.0,D. Jordan enters the game for S. Hawes,,45,36
146,2,7:30.0,,A. Johnson misses free throw 2 of 2,45,36
147,2,7:29.0,Defensive rebound by B. Griffin,,45,36
148,2,7:12.0,J. Crawford makes 2-pt hook shot from 4 ft (assist by B. Griffin),,47,36
149,2,6:56.0,,Def 3 sec tech foul by D. Jordan,47,36
150,2,6:56.0,,L. Williams misses technical free throw,47,36
151,2,6:56.0,,Offensive rebound by Team,47,36
152,2,6:56.0,M. Barnes enters the game for A. Rivers,,47,36
153,2,6:56.0,,K. Lowry enters the game for G. Vásquez,47,36
154,2,6:56.0,,D. DeRozan enters the game for T. Ross,47,36
155,2,6:51.0,,L. Williams misses 2-pt jump shot from 8 ft,47,36
156,2,6:50.0,,Offensive rebound by A. Johnson,47,36
157,2,6:48.0,,A. Johnson makes 2-pt layup from 1 ft,47,38
158,2,6:35.0,J. Crawford misses 2-pt jump shot from 11 ft,,47,38
159,2,6:34.0,,Defensive rebound by A. Johnson,47,38
160,2,6:26.0,,J. Johnson makes 2-pt layup from 1 ft (assist by D. DeRozan),47,40
161,2,6:06.0,C. Paul misses 2-pt jump shot from 13 ft,,47,40
162,2,6:05.0,,Defensive rebound by J. Johnson,47,40
163,2,6:03.0,,Personal foul by C. Paul (drawn by K. Lowry),47,40
164,2,6:03.0,,K. Lowry makes free throw 1 of 2,47,41
165,2,6:03.0,,J. Valančiūnas enters the game for A. Johnson,47,41
166,2,6:03.0,,K. Lowry makes free throw 2 of 2,47,42
167,2,5:51.0,C. Paul makes 2-pt jump shot from 15 ft (assist by B. Griffin),,49,42
168,2,5:31.0,,D. DeRozan makes 2-pt layup from 4 ft,49,44
169,2,5:08.0,,Toronto full timeout,49,44
170,2,5:03.0,D. Jordan misses 2-pt hook shot from 4 ft,,49,44
171,2,5:02.0,,Defensive rebound by J. Valančiūnas,49,44
172,2,4:54.0,,D. DeRozan misses 2-pt jump shot from 14 ft,49,44
173,2,4:53.0,Defensive rebound by D. Jordan,,49,44
174,2,4:41.0,Turnover by C. Paul (bad pass; steal by J. Johnson),,49,44
175,2,4:36.0,,J. Johnson makes 2-pt dunk at rim (assist by L. Williams),49,46
176,2,4:32.0,Shooting foul by K. Lowry (drawn by B. Griffin),,49,46
177,2,4:32.0,B. Griffin makes free throw 1 of 2,,50,46
178,2,4:32.0,B. Griffin makes free throw 2 of 2,,51,46
179,2,4:16.0,,J. Johnson makes 2-pt dunk at rim (assist by D. DeRozan),51,48
180,2,4:02.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by C. Paul),,53,48
181,2,3:39.0,,J. Johnson makes 2-pt layup from 2 ft (assist by L. Williams),53,50
182,2,3:18.0,Shooting foul by J. Valančiūnas (drawn by M. Barnes),,53,50
183,2,3:18.0,M. Barnes misses free throw 1 of 2,,53,50
184,2,3:18.0,Offensive rebound by Team,,53,50
185,2,3:18.0,A. Rivers enters the game for J. Crawford,,53,50
186,2,3:18.0,M. Barnes misses free throw 2 of 2,,53,50
187,2,3:18.0,,Defensive rebound by D. DeRozan,53,50
188,2,2:54.0,,Turnover by Team (shot clock),53,50
189,2,2:54.0,LA Clippers full timeout,,53,50
190,2,2:54.0,,T. Ross enters the game for L. Williams,53,50
191,2,2:31.0,M. Barnes misses 3-pt jump shot from 23 ft,,53,50
192,2,2:30.0,Offensive rebound by B. Griffin,,53,50
193,2,2:28.0,B. Griffin misses 2-pt tip-in from 2 ft,,53,50
194,2,2:27.0,,Defensive rebound by J. Valančiūnas,53,50
195,2,2:19.0,,D. DeRozan misses 2-pt jump shot from 14 ft,53,50
196,2,2:18.0,,Offensive rebound by D. DeRozan,53,50
197,2,2:18.0,,Personal foul by D. Jordan (drawn by D. DeRozan),53,50
198,2,2:18.0,,D. DeRozan misses free throw 1 of 2,53,50
199,2,2:18.0,,Offensive rebound by Team,53,50
200,2,2:18.0,J. Crawford enters the game for M. Barnes,,53,50
201,2,2:18.0,,D. DeRozan makes free throw 2 of 2,53,51
202,2,1:57.0,C. Paul makes 3-pt jump shot from 25 ft,,56,51
203,2,1:42.0,,T. Ross misses 3-pt jump shot from 26 ft,56,51
204,2,1:41.0,,Offensive rebound by J. Valančiūnas,56,51
205,2,1:38.0,,Turnover by J. Valančiūnas (lost ball; steal by C. Paul),56,51
206,2,1:33.0,D. Jordan makes 2-pt dunk at rim (assist by B. Griffin),,58,51
207,2,1:12.0,,D. DeRozan makes 2-pt layup from 1 ft,58,53
208,2,0:51.0,Shooting foul by T. Ross (drawn by J. Crawford),,58,53
209,2,0:51.0,J. Crawford misses free throw 1 of 2,,58,53
210,2,0:51.0,Offensive rebound by Team,,58,53
211,2,0:51.0,,A. Johnson enters the game for J. Valančiūnas,58,53
212,2,0:51.0,,L. Williams enters the game for T. Ross,58,53
213,2,0:51.0,J. Crawford makes free throw 2 of 2,,59,53
214,2,0:40.0,,J. Johnson makes 2-pt dunk at rim (assist by D. DeRozan),59,55
215,2,0:32.0,Turnover by J. Crawford (bad pass; steal by D. DeRozan),,59,55
216,2,0:26.0,,Shooting foul by A. Rivers (drawn by J. Johnson),59,55
