,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:47.0,,Violation by D. Mitchell (kicked ball),0,0
1,1,11:43.0,Turnover by E. Moore (bad pass; steal by R. Rubio),,0,0
2,1,11:35.0,,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),0,3
3,1,11:20.0,J. Holiday misses 2-pt layup from 3 ft,,0,3
4,1,11:18.0,,Defensive rebound by R. Rubio,0,3
5,1,11:12.0,,R. Rubio misses 2-pt jump shot from 13 ft,0,3
6,1,11:08.0,Defensive rebound by R. Rondo,,0,3
7,1,10:58.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by E. Moore),,3,3
8,1,10:41.0,,D. Mitchell misses 2-pt layup from 1 ft,3,3
9,1,10:38.0,Defensive rebound by J. Holiday,,3,3
10,1,10:31.0,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),,5,3
11,1,10:15.0,,J. Jerebko misses 3-pt jump shot from 23 ft,5,3
12,1,10:13.0,Defensive rebound by R. Rondo,,5,3
13,1,10:03.0,R. Rondo makes 2-pt layup from 1 ft,,7,3
14,1,9:46.0,,R. Rubio misses 3-pt jump shot from 25 ft,7,3
15,1,9:43.0,Defensive rebound by E. Moore,,7,3
16,1,9:25.0,A. Davis misses 2-pt jump shot from 2 ft,,7,3
17,1,9:22.0,,Defensive rebound by D. Favors,7,3
18,1,9:18.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),7,6
19,1,8:58.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by J. Holiday),,10,6
20,1,8:42.0,Offensive charge foul by J. Jerebko (drawn by D. Cousins),,10,6
21,1,8:42.0,,Turnover by J. Jerebko (offensive foul),10,6
22,1,8:33.0,J. Holiday misses 3-pt jump shot from 25 ft,,10,6
23,1,8:30.0,,Defensive rebound by D. Favors,10,6
24,1,8:19.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by D. Favors),10,8
25,1,8:08.0,D. Cousins makes 2-pt layup from 2 ft (assist by J. Holiday),,12,8
26,1,8:00.0,,R. Rubio makes 2-pt layup from 1 ft,12,10
27,1,8:00.0,,Shooting foul by D. Cousins (drawn by R. Rubio),12,10
28,1,8:00.0,New Orleans full timeout,,12,10
29,1,8:00.0,D. Cunningham enters the game for D. Cousins,,12,10
30,1,8:00.0,,R. Rubio makes free throw 1 of 1,12,11
31,1,7:48.0,R. Rondo misses 3-pt jump shot from 23 ft,,12,11
32,1,7:44.0,,Defensive rebound by D. Mitchell,12,11
33,1,7:34.0,,J. Jerebko makes 2-pt layup from 1 ft,12,13
34,1,7:34.0,,Shooting foul by D. Cunningham (drawn by J. Jerebko),12,13
35,1,7:34.0,,J. Jerebko makes free throw 1 of 1,12,14
36,1,7:25.0,Personal foul by J. Ingles (drawn by E. Moore),,12,14
37,1,7:22.0,A. Davis makes 2-pt jump shot from 11 ft (assist by R. Rondo),,14,14
38,1,7:02.0,,Shooting foul by J. Holiday (drawn by D. Mitchell),14,14
39,1,7:02.0,,D. Mitchell makes free throw 1 of 2,14,15
40,1,7:02.0,,D. Mitchell makes free throw 2 of 2,14,16
41,1,6:51.0,J. Holiday makes 2-pt layup from 2 ft (assist by R. Rondo),,16,16
42,1,6:30.0,,R. Rubio misses 3-pt jump shot from 22 ft,16,16
43,1,6:28.0,Defensive rebound by Team,,16,16
44,1,6:28.0,,R. Hood enters the game for R. Rubio,16,16
45,1,6:14.0,A. Davis misses 2-pt jump shot from 12 ft,,16,16
46,1,6:10.0,,Defensive rebound by D. Favors,16,16
47,1,6:00.0,,J. Ingles misses 3-pt jump shot from 23 ft,16,16
48,1,5:57.0,Defensive rebound by R. Rondo,,16,16
49,1,5:54.0,Turnover by E. Moore (turnover),,16,16
50,1,5:39.0,,R. Hood misses 3-pt jump shot from 23 ft,16,16
51,1,5:35.0,Defensive rebound by J. Holiday,,16,16
52,1,5:25.0,E. Moore misses 2-pt jump shot from 14 ft,,16,16
53,1,5:23.0,,Defensive rebound by Team,16,16
54,1,5:23.0,Loose ball foul by A. Davis (drawn by J. Jerebko),,16,16
55,1,5:23.0,,J. Johnson enters the game for J. Jerebko,16,16
56,1,5:11.0,,Turnover by D. Favors (traveling),16,16
57,1,5:04.0,D. Cousins enters the game for D. Cunningham,,16,16
58,1,5:04.0,D. Miller enters the game for E. Moore,,16,16
59,1,4:57.0,R. Rondo misses 3-pt jump shot from 23 ft,,16,16
60,1,4:54.0,,Defensive rebound by D. Favors,16,16
61,1,4:46.0,,D. Favors misses 2-pt jump shot from 10 ft,16,16
62,1,4:44.0,,Offensive rebound by J. Johnson,16,16
63,1,4:42.0,,J. Johnson makes 2-pt layup from 3 ft,16,18
64,1,4:31.0,Turnover by D. Cousins (bad pass; steal by R. Hood),,16,18
65,1,4:24.0,,D. Favors makes 2-pt hook shot from 3 ft (assist by J. Johnson),16,20
66,1,4:11.0,A. Davis misses 3-pt jump shot from 24 ft,,16,20
67,1,4:08.0,,Defensive rebound by J. Ingles,16,20
68,1,4:00.0,,A. Burks enters the game for J. Ingles,16,20
69,1,4:00.0,,Utah full timeout,16,20
70,1,4:00.0,J. Nelson enters the game for R. Rondo,,16,20
71,1,3:52.0,,D. Favors makes 2-pt jump shot from 16 ft (assist by A. Burks),16,22
72,1,3:39.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),,19,22
73,1,3:22.0,,Personal foul by D. Miller (drawn by D. Mitchell),19,22
74,1,3:22.0,,D. Mitchell misses free throw 1 of 2,19,22
75,1,3:22.0,,Offensive rebound by Team,19,22
76,1,3:22.0,,D. Mitchell makes free throw 2 of 2,19,23
77,1,3:11.0,J. Nelson misses 3-pt jump shot from 24 ft,,19,23
78,1,3:09.0,,Defensive rebound by A. Burks,19,23
79,1,3:01.0,,A. Burks makes 2-pt jump shot from 21 ft,19,25
80,1,2:52.0,Turnover by J. Nelson (bad pass; steal by A. Burks),,19,25
81,1,2:46.0,,D. Mitchell misses 3-pt jump shot from 28 ft,19,25
82,1,2:43.0,Defensive rebound by J. Nelson,,19,25
83,1,2:38.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Nelson),,22,25
84,1,2:19.0,,A. Burks misses 3-pt jump shot from 24 ft,22,25
85,1,2:16.0,Defensive rebound by D. Cousins,,22,25
86,1,2:09.0,Personal foul by A. Burks (drawn by J. Holiday),,22,25
87,1,2:09.0,,R. Rubio enters the game for D. Favors,22,25
88,1,2:09.0,,E. Udoh enters the game for D. Mitchell,22,25
89,1,2:03.0,A. Davis misses 2-pt jump shot from 22 ft,,22,25
90,1,2:00.0,,Defensive rebound by E. Udoh,22,25
91,1,1:44.0,,R. Hood misses 2-pt layup from 1 ft (block by D. Cousins),22,25
92,1,1:42.0,,Offensive rebound by J. Johnson,22,25
93,1,1:40.0,,R. Rubio misses 2-pt jump shot from 20 ft,22,25
94,1,1:36.0,Defensive rebound by D. Cousins,,22,25
95,1,1:27.0,D. Cousins makes 3-pt jump shot from 25 ft (assist by A. Davis),,25,25
96,1,1:10.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by R. Rubio),25,28
97,1,0:53.0,A. Davis misses 2-pt jump shot from 10 ft,,25,28
98,1,0:51.0,,Defensive rebound by A. Burks,25,28
99,1,0:47.0,,R. Hood misses 3-pt jump shot from 24 ft,25,28
100,1,0:47.0,Defensive rebound by J. Holiday,,25,28
101,1,0:43.0,Turnover by J. Holiday (bad pass; steal by R. Rubio),,25,28
102,1,0:34.0,,R. Hood misses 3-pt jump shot from 25 ft,25,28
103,1,0:31.0,Defensive rebound by J. Holiday,,25,28
104,1,0:29.0,Personal foul by R. Hood (drawn by A. Davis),,25,28
105,1,0:29.0,E. Moore enters the game for J. Holiday,,25,28
106,1,0:29.0,D. Cunningham enters the game for A. Davis,,25,28
107,1,0:19.0,D. Cousins makes 2-pt layup at rim,,27,28
108,1,0:00.0,,R. Hood misses 2-pt jump shot from 13 ft,27,28
109,1,0:00.0,,Offensive rebound by Team,27,28
110,2,11:39.0,,Turnover by R. Rubio (bad pass; steal by D. Cousins),27,28
111,2,11:19.0,D. Cousins misses 2-pt jump shot from 10 ft,,27,28
112,2,11:16.0,,Defensive rebound by R. Rubio,27,28
113,2,11:11.0,,R. Hood makes 2-pt layup from 2 ft (assist by R. Rubio),27,30
114,2,11:01.0,Turnover by J. Nelson (bad pass; steal by E. Udoh),,27,30
115,2,10:56.0,,Turnover by R. Hood (lost ball; steal by D. Cunningham),27,30
116,2,10:50.0,D. Miller makes 3-pt jump shot from 23 ft (assist by E. Moore),,30,30
117,2,10:32.0,,E. Udoh makes 2-pt jump shot from 8 ft (assist by R. Rubio),30,32
118,2,10:15.0,D. Miller makes 3-pt jump shot from 24 ft (assist by E. Moore),,33,32
119,2,10:01.0,,Personal foul by D. Cousins (drawn by R. Rubio),33,32
120,2,10:01.0,,D. Mitchell enters the game for R. Hood,33,32
121,2,9:56.0,,Shooting foul by E. Moore (drawn by D. Mitchell),33,32
122,2,9:56.0,,D. Mitchell makes free throw 1 of 2,33,33
123,2,9:56.0,,D. Mitchell makes free throw 2 of 2,33,34
124,2,9:39.0,Turnover by E. Moore (bad pass),,33,34
125,2,9:39.0,,J. Jerebko enters the game for J. Johnson,33,34
126,2,9:27.0,,E. Udoh makes 2-pt dunk from 1 ft (assist by D. Mitchell),33,36
127,2,9:15.0,Offensive foul by D. Cousins (drawn by E. Udoh),,33,36
128,2,9:15.0,Turnover by D. Cousins (offensive foul),,33,36
129,2,9:15.0,A. Davis enters the game for D. Cousins,,33,36
130,2,9:00.0,,Turnover by D. Mitchell (bad pass; steal by A. Davis),33,36
131,2,8:48.0,J. Nelson makes 3-pt jump shot from 25 ft (assist by E. Moore),,36,36
132,2,8:32.0,,A. Burks misses 3-pt jump shot from 25 ft,36,36
133,2,8:29.0,Defensive rebound by A. Davis,,36,36
134,2,8:21.0,D. Miller makes 3-pt jump shot from 22 ft (assist by J. Nelson),,39,36
135,2,8:19.0,,Utah full timeout,39,36
136,2,8:19.0,,D. Favors enters the game for R. Rubio,39,36
137,2,8:19.0,,J. Ingles enters the game for E. Udoh,39,36
138,2,8:05.0,,A. Burks misses 2-pt layup from 5 ft,39,36
139,2,8:04.0,,Offensive rebound by A. Burks,39,36
140,2,7:56.0,,A. Burks misses 2-pt layup from 3 ft (block by A. Davis),39,36
141,2,7:53.0,Defensive rebound by E. Moore,,39,36
142,2,7:50.0,,R. Hood enters the game for A. Burks,39,36
143,2,7:50.0,J. Holiday enters the game for J. Nelson,,39,36
144,2,7:48.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,41,36
145,2,7:33.0,,Turnover by D. Favors (lost ball; steal by A. Davis),41,36
146,2,7:27.0,Turnover by E. Moore (bad pass; steal by D. Favors),,41,36
147,2,7:18.0,,Turnover by D. Mitchell (bad pass),41,36
148,2,7:06.0,J. Holiday makes 2-pt layup from 4 ft,,43,36
149,2,6:50.0,,J. Jerebko makes 2-pt dunk from 2 ft (assist by J. Ingles),43,38
150,2,6:28.0,J. Holiday makes 2-pt jump shot from 18 ft,,45,38
151,2,6:01.0,,D. Favors misses 2-pt jump shot from 14 ft,45,38
152,2,5:59.0,Defensive rebound by D. Cunningham,,45,38
153,2,5:49.0,Turnover by J. Holiday (bad pass; steal by R. Hood),,45,38
154,2,5:46.0,,Personal foul by D. Miller (drawn by R. Hood),45,38
155,2,5:32.0,,Offensive foul by R. Hood (drawn by D. Miller),45,38
156,2,5:32.0,,Turnover by R. Hood (offensive foul),45,38
157,2,5:24.0,J. Holiday makes 2-pt jump shot from 13 ft,,47,38
158,2,5:04.0,,Turnover by R. Hood (lost ball; steal by D. Miller),47,38
159,2,5:03.0,Personal foul by D. Mitchell (drawn by A. Davis),,47,38
160,2,5:03.0,,J. Johnson enters the game for J. Jerebko,47,38
161,2,4:54.0,A. Davis misses 2-pt jump shot from 13 ft,,47,38
162,2,4:50.0,,Defensive rebound by D. Mitchell,47,38
163,2,4:47.0,,D. Mitchell makes 2-pt jump shot from 9 ft,47,40
164,2,4:33.0,D. Miller misses 2-pt jump shot from 16 ft,,47,40
165,2,4:25.0,Offensive rebound by A. Davis,,47,40
166,2,4:25.0,A. Davis makes 2-pt dunk at rim,,49,40
167,2,4:16.0,,D. Mitchell makes 2-pt jump shot from 12 ft,49,42
168,2,3:59.0,Offensive foul by A. Davis (drawn by D. Mitchell),,49,42
169,2,3:59.0,Turnover by A. Davis (offensive foul),,49,42
170,2,3:43.0,,D. Favors makes 2-pt layup from 2 ft (assist by R. Hood),49,44
171,2,3:18.0,J. Holiday makes 2-pt layup from 1 ft,,51,44
172,2,3:05.0,,D. Mitchell makes 3-pt jump shot from 25 ft,51,47
173,2,2:53.0,,Violation by D. Favors (kicked ball),51,47
174,2,2:53.0,New Orleans full timeout,,51,47
175,2,2:40.0,Personal foul by J. Ingles (drawn by J. Holiday),,51,47
176,2,2:27.0,A. Davis misses 2-pt hook shot from 5 ft,,51,47
177,2,2:20.0,Offensive rebound by A. Davis,,51,47
178,2,2:20.0,A. Davis makes 2-pt dunk at rim,,53,47
179,2,2:07.0,,J. Johnson makes 2-pt jump shot from 6 ft (assist by J. Ingles),53,49
180,2,1:56.0,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Davis),,56,49
181,2,1:40.0,,R. Hood misses 3-pt jump shot from 23 ft,56,49
182,2,1:36.0,Defensive rebound by A. Davis,,56,49
183,2,1:30.0,J. Holiday misses 3-pt jump shot from 24 ft,,56,49
184,2,1:26.0,,Defensive rebound by J. Ingles,56,49
185,2,1:19.0,,D. Favors makes 2-pt layup at rim (assist by J. Ingles),56,51
186,2,0:57.0,D. Cunningham misses 3-pt jump shot from 23 ft,,56,51
187,2,0:55.0,,Defensive rebound by J. Ingles,56,51
188,2,0:49.0,,J. Johnson makes 2-pt jump shot from 5 ft (assist by J. Ingles),56,53
189,2,0:39.0,D. Miller misses 3-pt jump shot from 25 ft,,56,53
190,2,0:37.0,,Defensive rebound by Team,56,53
191,2,0:25.0,,J. Johnson makes 2-pt jump shot from 13 ft,56,55
192,2,0:04.0,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),,58,55
193,2,0:00.0,,D. Mitchell misses 3-pt jump shot from 32 ft,58,55
194,2,0:00.0,,Offensive rebound by Team,58,55
195,3,11:40.0,,R. Rubio makes 2-pt jump shot from 9 ft,58,57
196,3,11:22.0,,Violation by J. Ingles (kicked ball),58,57
197,3,11:10.0,Turnover by J. Holiday (bad pass; steal by R. Rubio),,58,57
198,3,11:05.0,,J. Ingles misses 3-pt jump shot from 24 ft,58,57
199,3,11:04.0,Defensive rebound by Team,,58,57
200,3,11:04.0,,Loose ball foul by J. Jerebko (drawn by D. Cousins),58,57
201,3,10:51.0,J. Holiday misses 3-pt jump shot from 25 ft,,58,57
